Var1,mediandff,registered,maskdff,combmaskdff,indivmaskdff,mediansnr
1,-0.0963855421686748,0,0.0341350084021448,0.00308232031001809,-0.172932330827068,-0.365148371670111
2,-0.090909090909091,0,0.0339401024007575,-0.000483207413350062,-0.172932330827068,-0.358568582800318
3,-0.107551487414188,0,0.0299239240768836,0.000259810703701069,-0.24812030075188,-0.405095746833467
4,-0.090909090909091,0,0.0349162808443793,0.00228289431213469,-0.172932330827068,-0.356753034006338
5,-0.101941747572816,0,0.0343596738381158,0.00382004825453497,-0.172932330827068,-0.382450855295707
6,-0.0828402366863905,0,0.038811321400942,0.00353067749988378,-0.172932330827068,-0.318446935460565
7,-0.0909090909090909,0,0.0415442066189857,0.00664511280443159,-0.172932330827068,-0.343559000588321
8,-0.0909090909090909,0,0.040981505514323,0.00508251085030964,-0.172932330827068,-0.339683110243379
9,-0.124423963133641,0,0.0181257507919863,-0.00900587691472754,-0.24812030075188,-0.474341649025257
10,-0.133574007220217,0,0.00516679906829287,-0.0152142904069363,-0.24812030075188,-0.5
11,-0.222222222222222,0,-0.0518870708252089,-0.0167742327723834,-0.24812030075188,-0.839570157152151
12,-0.230769230769231,0,-0.0549121703733975,-0.016750977687757,-0.323308270676692,-0.866917753741713
13,-0.217391304347826,0,-0.0482642797827685,-0.0146345654954714,-0.323308270676692,-0.815087612525153
14,-0.186046511627907,0,-0.0236193713865491,-0.00532556878623491,-0.24812030075188,-0.710818653310911
15,-0.126637554585153,0,0.0500719600622921,0.0976645149091477,-0.24812030075188,-0.476731294622796
16,0.148148148148148,0,0.320631539936528,0.320449554380091,0.0526315789473684,0.557006651896017
17,0.376811594202899,0,0.549469157466004,0.528777880640357,0.278195488721805,1.455213750218
18,0.509433962264151,0,0.680381461483716,0.659939770812599,0.428571428571429,1.96959649289584
19,0.590909090909091,0,0.763389195991859,0.742795118123756,0.503759398496241,2.23649794923292
20,0.621621621621621,0,0.788089824077573,0.781664253798209,0.578947368421053,2.40760290001028
21,0.6,0,0.764739669967298,0.804100515447782,0.503759398496241,2.32187715630701
22,0.589403973509934,0,0.768657343750202,0.816399142130171,0.503759398496241,2.26749422372909
23,0.630958665167198,0,0.80338885573645,0.820479256184701,0.503759398496241,2.42682334580856
24,0.641791044776119,0,0.816562758722782,0.82421710080009,0.578947368421053,2.47487373415292
25,0.640825320512821,0,0.81619195949319,0.827139889338263,0.578947368421053,2.45996783441889
26,0.648351648351648,0,0.819052913729463,0.826211758655428,0.578947368421053,2.5
27,0.637010676156584,0,0.80263286979362,0.823750649007974,0.503759398496241,2.40258041239764
28,0.652892561983471,0,0.818804770788184,0.824998288913416,0.578947368421053,2.48423601363247
29,0.644444444444444,0,0.820001500033372,0.829900795829605,0.503759398496241,2.46296898401426
30,0.636363636363636,0,0.809992353948683,0.825724921603098,0.503759398496241,2.42212028327799
31,0.639344262295082,0,0.813943389860383,0.827432879746592,0.503759398496241,2.44470770127655
32,0.650485436893204,0,0.81453115469087,0.829611822957705,0.578947368421053,2.50998007960223
33,0.651376146788991,0,0.821186304234772,0.825646631655569,0.578947368421053,2.5
34,0.62037037037037,0,0.799227722674122,0.822109009641344,0.503759398496241,2.37759146542685
35,0.646341463414634,0,0.821256404172036,0.824026945594581,0.578947368421053,2.50998007960223
36,5.46341463414634,0,4.4586182774093,-0.836070342573077,2.15789473684211,14.6975570016987
