Var1,mediandff,registered,maskdff,combmaskdff
1,-0.00682128240109135,0,0.0203935475625709,0.00980577238517988
2,-0.0112359550561798,0,0.0157473656107454,0.00558323997968535
3,-0.0160295930949445,0,0.0116645310368027,0.00249510499323691
4,-0.0196936542669585,0,0.00733690601759673,-0.00128957192609802
5,-0.0241286863270777,0,0.00607928037491012,-0.00409333632003905
6,-0.0218340611353712,0,0.00559556601981459,-0.00562313875735443
7,-0.0186915887850468,0,0.00527932428278799,-0.00499944354331627
8,-0.017910447761194,0,0.00703453904596807,-0.00153196131956068
9,-0.0242424242424243,0,0.00378902263920433,-0.0059973176773227
10,-0.0203620951766711,0,0.0059830373208678,-0.0010646571753814
11,-0.0158730158730159,0,0.00928280491863931,8.59995862476648e-05
12,-0.0160848371524164,0,0.00852575877246653,-0.00034835123979704
13,-0.0171232876712329,0,0.011001708317294,0.00116480332389979
14,-0.0130548302872063,0,0.0135008976744369,0.00581285769061846
15,0.456647398843931,0,0.450183557851443,0.229475103193825
16,1.14931566235214,0,1.16622903451061,1.13668031706058
17,1.17710583153348,0,1.1941861455446,1.16496708315244
18,1.16425120772947,0,1.18826915205374,1.16635873619199
19,1.16597850918013,0,1.17926385577626,1.16117366835164
20,1.16309012875536,0,1.1822680080563,1.16095091597692
21,1.17204301075269,0,1.19051486326284,1.16370898730928
22,1.13953488372093,0,1.15907728618897,1.14775235659778
23,1.14516129032258,0,1.15675074515386,1.14089475247951
24,1.14876033057851,0,1.16434308778198,1.14154759938339
25,1.13818181818182,0,1.15625890982739,1.13076890245277
26,1.12600969305331,0,1.14559759017117,1.13152658191639
27,1.13141025641026,0,1.14654681426103,1.12441796817519
28,1.11510791366906,0,1.13410002211602,1.11466731512371
29,1.10404624277457,0,1.12085962847407,1.11482359099319
30,1.1,0,1.12172485250859,1.10997211848894
31,1.10472972972973,0,1.1225581447946,1.1097230879862
32,1.11242603550296,0,1.12365876392333,1.10567060815525
33,1.1,0,1.12051368689804,1.10685809368361
34,1.10382513661202,0,1.12361475609222,1.10570790045942
35,1.08761977878245,0,1.10503051224815,1.09294138876496
36,1.07785888077859,0,1.09816830851134,1.08564819589088
37,1.08372093023256,0,1.10077250482174,1.08156009299868
38,1.07309652204027,0,1.09383761575269,1.07618295089384
39,1.06048387096774,0,1.08168159924909,1.07239121390824
40,1.07835051546392,0,1.09165153603424,1.07163726716671
41,1.05295315682281,0,1.07057927718281,1.06440447989632
42,1.04716981132075,0,1.06593372442312,1.05524989814297
43,1.05029585798817,0,1.06879409791688,1.06278721230057
44,1.04678362573099,0,1.06306368231379,1.06143784885695
45,1.04678362573099,0,1.06424262076947,1.05926987482117
46,1.03571428571429,0,1.05216298011018,1.05224932398817
47,1.02572347266881,0,1.04647121048688,1.04721334808881
48,1.03021148036254,0,1.04526677359155,1.04130372699908
49,1.03053435114504,0,1.0448104971828,1.04109083338491
50,1.03996007984032,0,1.05064814102638,1.03797579322139
